store,address,phone,address2,geocoding,x,y,note
학동역 DT점,서울시 강남구 학동로 211 1층  ,02-3444-9973,서울특별시 강남구 학동로 211 1층,서울특별시 강남구 학동로 211 1층,127.03205587528586,37.51468091909501,
수서점,서울시 강남구 광평로 280 수서동 724호  ,02-3412-2326,서울특별시 강남구 광평로 280 수서동 724호,서울특별시 강남구 광평로 280 수서동 724호,127.10310898061113,37.487321775278595,
차병원점,서울시 강남구 논현로 566 강남차병원1층  ,02-538-7615,서울특별시 강남구 논현로 566 강남차병원1층,서울특별시 강남구 논현로 566 강남차병원1층,127.03472177313644,37.50703964801002,
강남대로점,서울시 서초구 강남대로 369 1층  ,02-588-5778,서울특별시 서초구 강남대로 369 1층,서울특별시 서초구 강남대로 369 1층,127.02821422459546,37.49565266712542,
메가박스점,서울 강남구 삼성동 159 코엑스몰 지하2층  ,02-6002-3320,서울특별시 강남구 삼성동 159 코엑스몰 지하2층,서울특별시 강남구 삼성동 159 코엑스몰 지하2층,127.05915520480393,37.51183229337543,
압구정에스점,서울시 강남구 압구정로 46길 3  ,02-541-5832,서울특별시 강남구 압구정로 46길 3,서울특별시 강남구 압구정로 46길 3,127.03692638929549,37.52829364903839,
강남에스점,서울시 서초구 서초 1306-3호  ,02-593-5095,서울특별시 서초구 서초 1306-3호,서울특별시 서초구 서초 1306-3호,127.025807158553,37.500311420613514,
청담에스점,서울시 강남구 압구정로 461 네이처포엠빌딩B108&109호  ,02-548-6052,서울특별시 강남구 압구정로 461 네이처포엠빌딩B108&109호,서울특별시 강남구 압구정로 461 네이처포엠빌딩B108&109호,127.04723082641128,37.52525360108726,
신사점,서울시 강남구 도산대로 126  ,02-548-2741,서울특별시 강남구 도산대로 126,서울특별시 강남구 도산대로 126,127.02240812380236,37.516962682729655,
압구정역점,서울시 강남구 논현로 842 압구정빌딩1층  ,02-544-6823,서울특별시 강남구 논현로 842 압구정빌딩1층,서울특별시 강남구 논현로 842 압구정빌딩1층,127.02873397573872,37.524034186469756,
역삼점,서울시 강남구 논현로 512  지상1&2층  ,02-569-8051,서울특별시 강남구 논현로 512 지상1&2층,서울특별시 강남구 논현로 512 지상1&2층,127.03651778007055,37.50234486850842,
양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층  ,02-578-6833,서울특별시 서초구 강남대로 213 24호 지하1층,서울특별시 서초구 강남대로 213 24호 지하1층,127.03494797113268,37.48276645646076,
청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층  ,02-542-2053,서울특별시 강남구 삼성로 716 LEE76빌딩2층,서울특별시 강남구 삼성로 716 LEE76빌딩2층,127.05003282510057,37.51990950199928,
영동점,서울 서초구 반포동 736-17 P빌딩 2층  ,02-3443-2096,서울특별시 서초구 반포동 736-17 P빌딩 2층,서울특별시 서초구 반포동 736-17 P빌딩 2층,127.0228235715594,37.50685333509015,
도곡점,서울시 강남구 언주로 30길 10&112 현대비젼21 112호  ,02-572-2781,서울특별시 강남구 언주로 30길 10&112 현대비젼21 112호,서울특별시 강남구 언주로 30길 10&112 현대비젼21 112호,127.0513227305754,37.4873646307762,
영동고앞점,서울시 강남구 선릉로 749 1&2층  ,02-544-3794,서울특별시 강남구 선릉로 749 1&2층,서울특별시 강남구 선릉로 749 1&2층,127.03947957530714,37.52145421594632,
공항터미널앞점,서울시 강남구 테헤란로 87길 17 1층  ,02-539-5174,서울특별시 강남구 테헤란로 87길 17 1층,서울특별시 강남구 테헤란로 87길 17 1층,127.05834973642901,37.50874224881559,
교대점,서울시 서초구 서초중앙로 118  1층  ,02-585-3981,서울특별시 서초구 서초중앙로 118 1층,서울특별시 서초구 서초중앙로 118 1층,127.01423653928912,37.49239353299309,
대치한티점,서울시 강남구 선릉로 64길 23 1층  ,02-557-0510,서울특별시 강남구 선릉로 64길 23 1층,서울특별시 강남구 선릉로 64길 23 1층,127.05416869965559,37.49830158660618,
압구정시티점,서울시 강남구 도산대로49길 13 1층 17&18호  ,02-543-5922,서울특별시 강남구 도산대로49길 13 1층 17&18호,서울특별시 강남구 도산대로49길 13 1층 17&18호,127.03695808423035,37.5237435785289,
압구정로데오점,서울시 강남구 선릉로 157길 12 석전빌딩 1~4층  ,02-3445-5093,서울특별시 강남구 선릉로 157길 12 석전빌딩 1~4층,서울특별시 강남구 선릉로 157길 12 석전빌딩 1~4층,127.03900689288007,37.526121565606985,
서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층  ,02-582-0158,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층,127.03025926478905,37.49128227662222,
